"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2021","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2022","4531756","4,5"
"United States of America","2021","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2022","4482395","4,5"
"United States of America","2021","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2022","4492867","4,5"
"United States of America","2021","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2022","22299318","4,5"
"United States of America","2021","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2022","4490254","4,5"
"United States of America","2021","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2022","4397037","4,5"
"United States of America","2021","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2022","4463130","4,5"
"United States of America","2021","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2022","4456030","4,5"
"United States of America","2021","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2022","4391796","4,5"
"United States of America","2021","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2022","21104536","4,5"
"United States of America","2021","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2022","4372860","4,5"
"United States of America","2021","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2022","4193750","4,5"
"United States of America","2021","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2022","4099002","4,5"
"United States of America","2021","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2022","4047128","4,5"
"United States of America","2021","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2022","3908305","4,5"
"United States of America","2021","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2022","19781510","4,5"
"United States of America","2021","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2022","3951786","4,5"
"United States of America","2021","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2022","3875209","4,5"
"United States of America","2021","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2022","3927492","4,5"
"United States of America","2021","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2022","4118718","4,5"
"United States of America","2021","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2022","4366085","4,5"
"United States of America","2021","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2022","20906926","4,5"
"United States of America","2021","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2022","4297812","4,5"
"United States of America","2021","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2022","4136193","4,5"
"United States of America","2021","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2022","4046823","4,5"
"United States of America","2021","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2022","4060013","4,5"
"United States of America","2021","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2022","4119517","4,5"
"United States of America","2021","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2022","21567314","4,5"
"United States of America","2021","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2022","4280217","4,5"
"United States of America","2021","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2022","4383354","4,5"
"United States of America","2021","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2022","4384908","4,5"
"United States of America","2021","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2022","4399318","4,5"
"United States of America","2021","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2022","4391144","4,5"
"United States of America","2021","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2022","21235750","4,5"
"United States of America","2021","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2022","4312796","4,5"
"United States of America","2021","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2022","4228770","4,5"
"United States of America","2021","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2022","4190193","4,5"
"United States of America","2021","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2022","4112847","4,5"
"United States of America","2021","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2022","3928157","4,5"
"United States of America","2021","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2022","18394320","4,5"
"United States of America","2021","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2022","3834444","4,5"
"United States of America","2021","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2022","3695234","4,5"
"United States of America","2021","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2022","3537207","4,5"
"United States of America","2021","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2022","3399278","4,5"
"United States of America","2021","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2022","3229649","4,5"
"United States of America","2021","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2022","15271802","4,5"
"United States of America","2021","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2022","3076389","4,5"
"United States of America","2021","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2022","2988058","4,5"
"United States of America","2021","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2022","2917030","4,5"
"United States of America","2021","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2022","3060676","4,5"
"United States of America","2021","Total","Both Sexes","75","Estimate - de jure","Final figure, complete","2022","2157557","4,5"
"United States of America","2021","Total","Both Sexes","75 - 79","Estimate - de jure","Final figure, complete","2022","9904769","4,5"
"United States of America","2021","Total","Both Sexes","76","Estimate - de jure","Final figure, complete","2022","2060045","4,5"
"United States of America","2021","Total","Both Sexes","77","Estimate - de jure","Final figure, complete","2022","1992972","4,5"
"United States of America","2021","Total","Both Sexes","78","Estimate - de jure","Final figure, complete","2022","1997941","4,5"
"United States of America","2021","Total","Both Sexes","79","Estimate - de jure","Final figure, complete","2022","1696254","4,5"
"United States of America","2021","Total","Both Sexes","80","Estimate - de jure","Final figure, complete","2022","1507612","4,5"
"United States of America","2021","Total","Both Sexes","80 - 84","Estimate - de jure","Final figure, complete","2022","6301306","4,5"
"United States of America","2021","Total","Both Sexes","81","Estimate - de jure","Final figure, complete","2022","1366271","4,5"
"United States of America","2021","Total","Both Sexes","82","Estimate - de jure","Final figure, complete","2022","1254351","4,5"
"United States of America","2021","Total","Both Sexes","83","Estimate - de jure","Final figure, complete","2022","1156487","4,5"
"United States of America","2021","Total","Both Sexes","84","Estimate - de jure","Final figure, complete","2022","1016585","4,5"
"United States of America","2021","Total","Both Sexes","85","Estimate - de jure","Final figure, complete","2022","922486","4,5"
"United States of America","2021","Total","Both Sexes","85 - 89","Estimate - de jure","Final figure, complete","2022","3579482","4,5"
"United States of America","2021","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2022","808993","4,5"
"United States of America","2021","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2022","705041","4,5"
"United States of America","2021","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2022","608268","4,5"
"United States of America","2021","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2022","534694","4,5"
"United States of America","2021","Total","Both Sexes","90","Estimate - de jure","Final figure, complete","2022","465612","4,5"
"United States of America","2021","Total","Both Sexes","90 - 94","Estimate - de jure","Final figure, complete","2022","1737275","4,5"
